Name used in JSS,Short name,Description,Synonyms,Source Type,Map Type,ICD-10 ID,ICD-10 Name,Parent Category
"Syphilis, unspec.",,,,ICD 10 - WHO,SAME-AS,A53.9,"Syphilis, unspecified",Infectious and Parasitic Diseases
"Trichomoniasis, unspec.",,,,ICD 10 - WHO,SAME-AS,A59.9,"Trichomoniasis, unspecified",Infectious and Parasitic Diseases
"Tuberculosis, pulmonary, NOS",,,,ICD 10 - WHO,SAME-AS,A15.0,Tuberculosis of lung,Infectious and Parasitic Diseases
"Venereal disease, unspec.",,,,ICD 10 - WHO,SAME-AS,A64,Unspecified sexually transmitted disease,Infectious and Parasitic Diseases
"Viral infection, unspec.",,,,ICD 10 - WHO,SAME-AS,B97.89,Other viral agents as the cause of diseases classified elsewhere,Infectious and Parasitic Diseases
"Warts, condyloma",,,,ICD 10 - WHO,SAME-AS,A63.0,Anogenital (venereal) warts,Infectious and Parasitic Diseases
"Warts, viral, unspec.",,,,ICD 10 - WHO,SAME-AS,B07.9,"Viral wart, unspecified",Infectious and Parasitic Diseases
"Skin, uncertain behavior",,,,ICD 10 - WHO,SAME-AS,D48.5,Neoplasm of uncertain behavior of skin,Neoplasms
"Benign lesion, unspec.",,,,ICD 10 - WHO,SAME-AS,D36.9,"Benign neoplasm, unspecified site",Neoplasms
"Lipoma, any site",,,,ICD 10 - WHO,SAME-AS,D17.9,"Benign lipomatous neoplasm, unspecified",Neoplasms
"Neoplasm, unspec.",,,,ICD 10 - WHO,SAME-AS,D49.9,Neoplasm of unspecified behavior of unspecified site,Neoplasms
"Skin, soft tissue neoplasm, unspec.",,,,ICD 10 - WHO,SAME-AS,D49.2,"Neoplasm of unspecified behavior of bone, soft tissue, and skin",Neoplasms
"Skin, unspec.",,,,ICD 10 - WHO,SAME-AS,D23.9,"Other benign neoplasm of skin, unspecified",Neoplasms
"Bladder, unspec.",,,,ICD 10 - WHO,SAME-AS,C67.9,"Malignant neoplasm of bladder, unspecified",Neoplasms
"Breast, female, unspec.",,,,ICD 10 - WHO,SAME-AS,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,Neoplasms
Cervix uteri (CIS),,,,ICD 10 - WHO,SAME-AS,D06.9,"Carcinoma in situ of cervix, unspecified",Neoplasms
"Female genital, unspec., CIS excluded",,,,ICD 10 - WHO,SAME-AS,C57.9,"Malignant neoplasm of female genital organ, unspecified",Neoplasms
"Gastrointestinal tract, unspec.",,,,ICD 10 - WHO,SAME-AS,C26.0,"Malignant neoplasm of intestinal tract, part unspecified",Neoplasms
"Leukemia, unspec., w/o remission",,,,ICD 10 - WHO,SAME-AS,C95.90,"Leukemia, unspecified not having achieved remission",Neoplasms
"Lung, unspec.",,,,ICD 10 - WHO,SAME-AS,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Neoplasms
"Male genital, unspec.",,,,ICD 10 - WHO,SAME-AS,C63.9,"Malignant neoplasm of male genital organ, unspecified",Neoplasms
"Malignant lesion, unspec.",,,,ICD 10 - WHO,SAME-AS,C80.1,"Malignant (primary) neoplasm, unspecified",Neoplasms
Prostate,,,,ICD 10 - WHO,SAME-AS,C61,Malignant neoplasm of prostate,Neoplasms
"Respiratory tract, NOS",,,,ICD 10 - WHO,SAME-AS,C39.9,"Malignant neoplasm of lower respiratory tract, part unspecified",Neoplasms
"Urinary, unspec.",,,,ICD 10 - WHO,SAME-AS,C68.9,"Malignant neoplasm of urinary organ, unspecified",Neoplasms
B12 deficiency w/o anemia,,,,ICD 10 - WHO,SAME-AS,E53.8,Deficiency of other specified B group vitamins,"Enocrine, Nutritional and Metabolic Disorders"
Dehydration,,,,ICD 10 - WHO,SAME-AS,E86.0,Dehydration,"Enocrine, Nutritional and Metabolic Disorders"
"Diabetes I, uncomplicated",,,,ICD 10 - WHO,SAME-AS,E10.9,Type 1 diabetes mellitus without complications,"Enocrine, Nutritional and Metabolic Disorders"
"Diabetes I, w/ unspec. complications",,,,ICD 10 - WHO,SAME-AS,E10.8,Type 1 diabetes mellitus with unspecified complications,"Enocrine, Nutritional and Metabolic Disorders"
"Diabetes II, uncomplicated",,,,ICD 10 - WHO,SAME-AS,E11.9,Type 2 diabetes mellitus without complications,"Enocrine, Nutritional and Metabolic Disorders"
"Diabetes II, w/ unspec. complications",,,,ICD 10 - WHO,SAME-AS,E11.8,Type 2 diabetes mellitus with unspecified complications,"Enocrine, Nutritional and Metabolic Disorders"
Dysmetabolic syndrome,,,,ICD 10 - WHO,SAME-AS,E88.81,Metabolic syndrome,"Enocrine, Nutritional and Metabolic Disorders"
Glucose intolerance,,,,ICD 10 - WHO,SAME-AS,E74.9,"Disorder of carbohydrate metabolism, unspecified","Enocrine, Nutritional and Metabolic Disorders"
"Gout, unspec.",,,,ICD 10 - WHO,SAME-AS,M10.9,"Gout, unspecified","Enocrine, Nutritional and Metabolic Disorders"
Hypercalcemia,,,,ICD 10 - WHO,SAME-AS,E83.52,Hypercalcemia,"Enocrine, Nutritional and Metabolic Disorders"
"Hypercholesterolemia, pure",,,,ICD 10 - WHO,SAME-AS,E78.0,Pure hypercholesterolemia,"Enocrine, Nutritional and Metabolic Disorders"
Hyperkalemia,,,,ICD 10 - WHO,SAME-AS,E87.5,Hyperkalemia,"Enocrine, Nutritional and Metabolic Disorders"
"Hyperlipidemia, mixed",,,,ICD 10 - WHO,SAME-AS,E78.2,Mixed hyperlipidemia,"Enocrine, Nutritional and Metabolic Disorders"
Hypernatremia,,,,ICD 10 - WHO,SAME-AS,E87.0,Hyperosmolality and hypernatremia,"Enocrine, Nutritional and Metabolic Disorders"
"Hyperparathyroidism, unspec.",,,,ICD 10 - WHO,SAME-AS,E21.3,"Hyperparathyroidism, unspecified","Enocrine, Nutritional and Metabolic Disorders"
"Hyperthyroidism, NOS",,,,ICD 10 - WHO,SAME-AS,E05.90,"Thyrotoxicosis, unspecified without thyrotoxic crisis or storm","Enocrine, Nutritional and Metabolic Disorders"
Hypocalcemia,,,,ICD 10 - WHO,SAME-AS,E83.51,Hypocalcemia,"Enocrine, Nutritional and Metabolic Disorders"
"Hypoglycemia, nondiabetic, unspec.",,,,ICD 10 - WHO,SAME-AS,E16.2,"Hypoglycemia, unspecified","Enocrine, Nutritional and Metabolic Disorders"
Hypokalemia,,,,ICD 10 - WHO,SAME-AS,E87.6,Hypokalemia,"Enocrine, Nutritional and Metabolic Disorders"
Hyponatremia,,,,ICD 10 - WHO,SAME-AS,E87.1,Hypo-osmolality and hyponatremia,"Enocrine, Nutritional and Metabolic Disorders"
"Hypothyroidism, unspec.",,,,ICD 10 - WHO,SAME-AS,E03.9,"Hypothyroidism, unspecified","Enocrine, Nutritional and Metabolic Disorders"
"Nutritional deficiencies, unspec.",,,,ICD 10 - WHO,SAME-AS,E63.9,"Nutritional deficiency, unspecified","Enocrine, Nutritional and Metabolic Disorders"
"Obesity, NOS",,,,ICD 10 - WHO,SAME-AS,E66.9,"Obesity, unspecified","Enocrine, Nutritional and Metabolic Disorders"
Overweight,,,,ICD 10 - WHO,SAME-AS,E66.3,Overweight,"Enocrine, Nutritional and Metabolic Disorders"
Thyroid nodule,,,,ICD 10 - WHO,SAME-AS,E04.1,Nontoxic single thyroid nodule,"Enocrine, Nutritional and Metabolic Disorders"
"Anemia, acute blood loss",,,,ICD 10 - WHO,SAME-AS,D62,Acute posthemorrhagic anemia,Blood Diseases
"Anemia, chronic disease, other",,,,ICD 10 - WHO,SAME-AS,D63.8,Anemia in other chronic diseases classified elsewhere,Blood Diseases
"Anemia, chronic kidney disease",,,,ICD 10 - WHO,SAME-AS,D63.1,Anemia in chronic kidney disease,Blood Diseases
"Anemia, chronic neoplastic disease",,,,ICD 10 - WHO,SAME-AS,D63.0,Anemia in neoplastic disease,Blood Diseases
"Anemia, iron deficiency, unspec.",,,,ICD 10 - WHO,SAME-AS,D50.9,"Iron deficiency anemia, unspecified",Blood Diseases
"Anemia, other, unspec.",,,,ICD 10 - WHO,SAME-AS,D64.9,"Anemia, unspecified",Blood Diseases
"Anemia, pernicious",,,,ICD 10 - WHO,SAME-AS,D51.0,Vitamin B12 deficiency anemia due to intrinsic factor deficiency,Blood Diseases
"Blood disease, unspec.",,,,ICD 10 - WHO,SAME-AS,D75.9,"Disease of blood and blood-forming organs, unspecified",Blood Diseases
"Hemorrhagic conditions, unspec.",,,,ICD 10 - WHO,SAME-AS,D69.9,"Hemorrhagic condition, unspecified",Blood Diseases
"Leukocytopenia, unspec.",,,,ICD 10 - WHO,SAME-AS,D72.819,"Decreased white blood cell count, unspecified",Blood Diseases
"Lymphadenitis, chronic",,,,ICD 10 - WHO,SAME-AS,I88.1,"Chronic lymphadenitis, except mesenteric",Blood Diseases
Polycythemia vera,,,,ICD 10 - WHO,SAME-AS,D45,Polycythemia vera,Blood Diseases
"Sickle-cell disease, unspec.",,,,ICD 10 - WHO,SAME-AS,D57.1,Sickle-cell disease without crisis,Blood Diseases
Sickle-cell trait,,,,ICD 10 - WHO,SAME-AS,D57.3,Sickle-cell trait,Blood Diseases
"Adjustment reaction, unspec.",,,,ICD 10 - WHO,SAME-AS,F43.20,"Adjustment disorder, unspecified",Mental Disorders
"Alcohol abuse, unspec.",,,,ICD 10 - WHO,SAME-AS,F10.10,"Alcohol abuse, uncomplicated",Mental Disorders
"Alcoholism, unspec.",,,,ICD 10 - WHO,SAME-AS,F10.20,"Alcohol dependence, uncomplicated",Mental Disorders
Alzheimer's,,,,ICD 10 - WHO,SAME-AS,G30.9,"Alzheimer's disease, unspecified",Mental Disorders
Anorexia nervosa,,,,ICD 10 - WHO,SAME-AS,F50.00,"Anorexia nervosa, unspecified",Mental Disorders
"Anxiety state, unspec.",,,,ICD 10 - WHO,SAME-AS,F41.9,"Anxiety disorder, unspecified",Mental Disorders
"Attention deficit, w/o hyperactivity",,,,ICD 10 - WHO,SAME-AS,F90.9,"Attention-deficit hyperactivity disorder, unspecified type",Mental Disorders
Bulimia nervosa,,,,ICD 10 - WHO,SAME-AS,F50.2,Bulimia nervosa,Mental Disorders
"Conduct disorder, unspec.",,,,ICD 10 - WHO,SAME-AS,F91.9,"Conduct disorder, unspecified",Mental Disorders
"Delirium, acute",,,,ICD 10 - WHO,SAME-AS,F05,Delirium due to known physiological condition,Mental Disorders
"Dementia, senile, uncomplicated",,,,ICD 10 - WHO,SAME-AS,F03.90,Unspecified dementia without behavioral disturbance,Mental Disorders
"Dementia, vascular, uncomplicated",,,,ICD 10 - WHO,SAME-AS,F01.50,Vascular dementia without behavioral disturbance,Mental Disorders
"Depressive disorder, NOS",,,,ICD 10 - WHO,SAME-AS,F32.9,"Major depressive disorder, single episode, unspecified",Mental Disorders
"Drug abuse, unspec.",,,,ICD 10 - WHO,SAME-AS,F18.10,"Inhalant abuse, uncomplicated",Mental Disorders
"Insomnia, sleep disorder, unspec.",,,,ICD 10 - WHO,SAME-AS,F51.9,"Sleep disorder not due to a substance or known physiological condition, unspecified",Mental Disorders
"Mental retardation, unspec.",,,,ICD 10 - WHO,SAME-AS,F79,Unspecified intellectual disabilities,Mental Disorders
"Panic disorder, no agoraphobia",,,,ICD 10 - WHO,SAME-AS,F41.0,Panic disorder [episodic paroxysmal anxiety] without agoraphobia,Mental Disorders
"Personality disorder, unspec.",,,,ICD 10 - WHO,SAME-AS,F60.9,"Personality disorder, unspecified",Mental Disorders
"Psychosexual dysfunction., unspec.",,,,ICD 10 - WHO,SAME-AS,R37,"Sexual dysfunction, unspecified",Mental Disorders
"Psychosis, unspec.",,,,ICD 10 - WHO,SAME-AS,F29,Unspecified psychosis not due to a substance or known physiological conditio,Mental Disorders
"Schizophrenia, unspec.",,,,ICD 10 - WHO,SAME-AS,F20.9,"Schizophrenia, unspecified",Mental Disorders
"Stress, acute situational disturbance",,,,ICD 10 - WHO,SAME-AS,F43.0,Acute stress reaction,Mental Disorders
Tobacco abuse,,,,ICD 10 - WHO,SAME-AS,F17.200,"Nicotine dependence, unspecified, uncomplicated",Mental Disorders
"Conjunctivitis, viral, NOS",,,,ICD 10 - WHO,SAME-AS,B30.9,"Viral conjunctivitis, unspecified",Nervous System and Sense Organ Disorders
"Headache, tension",,,,ICD 10 - WHO,SAME-AS,G44.209,"Tension-type headache, unspecified, not intractable",Nervous System and Sense Organ Disorders
"Hearing loss, unspec.",,,,ICD 10 - WHO,SAME-AS,H91.90,"Unspecified hearing loss, unspecified ear",Nervous System and Sense Organ Disorders
"Hemorrhage, intracranial, NOS",,,,ICD 10 - WHO,SAME-AS,I62.9,"Nontraumatic intracranial hemorrhage, unspecified",Nervous System and Sense Organ Disorders
Stye (hordeolum),,,,ICD 10 - WHO,SAME-AS,H00.019,"Hordeolum externum unspecified eye, unspecified eyelid",Nervous System and Sense Organ Disorders
Cerumen impaction,,,,ICD 10 - WHO,SAME-AS,H61.23,"Impacted cerumen, bilateral",Nervous System and Sense Organ Disorders
"Ear disorder, unspec.",,,,ICD 10 - WHO,SAME-AS,H93.93,"Unspecified disorder of ear, bilateral",Nervous System and Sense Organ Disorders
"Eustachian salpingitis, unspec.",,,,ICD 10 - WHO,SAME-AS,H68.009,"Unspecified Eustachian salpingitis, unspecified ear",Nervous System and Sense Organ Disorders
"Otitis media, acute",,,,ICD 10 - WHO,SAME-AS,H66.009,"Acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear",Nervous System and Sense Organ Disorders
"Otitis media, acute w/ rupture of TM",,,,ICD 10 - WHO,SAME-AS,H66.019,"Acute suppurative otitis media with spontaneous rupture of ear drum, unspecified ear",Nervous System and Sense Organ Disorders
"Otitis media, chronic serous",,,,ICD 10 - WHO,SAME-AS,H65.20,"Chronic serous otitis media, unspecified ear",Nervous System and Sense Organ Disorders
"Vertigo, central",,,,ICD 10 - WHO,SAME-AS,H81.49,"Vertigo of central origin, unspecified ear",Nervous System and Sense Organ Disorders
"Vertigo, peripheral, unspec.",,,,ICD 10 - WHO,SAME-AS,H81.399,"Other peripheral vertigo, unspecified ear",Nervous System and Sense Organ Disorders
"Blepharitis, unspec.",,,,ICD 10 - WHO,SAME-AS,H01.009,"Unspecified blepharitis unspecified eye, unspecified eyelid",Nervous System and Sense Organ Disorders
"Cataract, unspec.",,,,ICD 10 - WHO,SAME-AS,H26.9,Unspecified cataract,Nervous System and Sense Organ Disorders
Chalazion,,,,ICD 10 - WHO,SAME-AS,H00.19,"Chalazion unspecified eye, unspecified eyelid",Nervous System and Sense Organ Disorders
"Conjunctivitis, unspec.",,,,ICD 10 - WHO,SAME-AS,H10.9,Unspecified conjunctivitis,Nervous System and Sense Organ Disorders
Corneal abrasion,,,,ICD 10 - WHO,SAME-AS,S05.00XA,"Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye, initial encounter",Nervous System and Sense Organ Disorders
"Corneal ulcer, unspec.",,,,ICD 10 - WHO,SAME-AS,H16.009,"Unspecified corneal ulcer, unspecified eye",Nervous System and Sense Organ Disorders
"Eye disorder, unspec.",,,,ICD 10 - WHO,SAME-AS,H57.9,Unspecified disorder of eye and adnexa,Nervous System and Sense Organ Disorders
"Eye movement disorder, unspec.",,,,ICD 10 - WHO,SAME-AS,H51.9,Unspecified disorder of binocular movement,Nervous System and Sense Organ Disorders
"Glaucoma, unspec.",,,,ICD 10 - WHO,SAME-AS,H40.9,Unspecified glaucoma,Nervous System and Sense Organ Disorders
"Refractive errors, unspec.",,,,ICD 10 - WHO,SAME-AS,H52.7,Unspecified disorder of refraction,Nervous System and Sense Organ Disorders
"Retinal disorder, unspec.",,,,ICD 10 - WHO,SAME-AS,H35.9,Unspecified retinal disorder,Nervous System and Sense Organ Disorders
"Visual disturbance, unspec.",,,,ICD 10 - WHO,SAME-AS,H53.10,Unspecified subjective visual disturbances,Nervous System and Sense Organ Disorders
"Visual loss, unspec.",,,,ICD 10 - WHO,SAME-AS,H54.7,Unspecified visual loss,Nervous System and Sense Organ Disorders
Bell's palsy,,,,ICD 10 - WHO,SAME-AS,G51.0,Bell's palsy,Nervous System and Sense Organ Disorders
Carpal tunnel,,,,ICD 10 - WHO,SAME-AS,G56.00,"Carpal tunnel syndrome, unspecified upper limb",Nervous System and Sense Organ Disorders
"Cerebral artery occlusion with infarction, unspec.",,,,ICD 10 - WHO,SAME-AS,I63.50,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery,Nervous System and Sense Organ Disorders
"Cognitive impairment, mild",,,,ICD 10 - WHO,SAME-AS,G31.84,"Mild cognitive impairment, so stated",Nervous System and Sense Organ Disorders
"CVA, late effect, unspec.",,,,ICD 10 - WHO,SAME-AS,I69.90,Unspecified sequelae of unspecified cerebrovascular disease,Nervous System and Sense Organ Disorders
"Meningitis, unspec.",,,,ICD 10 - WHO,SAME-AS,G03.9,"Meningitis, unspecified",Nervous System and Sense Organ Disorders
"Migraine, unspec., not intractable",,,,ICD 10 - WHO,SAME-AS,G43.909,"Migraine, unspecified, not intractable, without status migrainosus",Nervous System and Sense Organ Disorders
"Movement disorder, unspec.",,,,ICD 10 - WHO,SAME-AS,G25.9,"Extrapyramidal and movement disorder, unspecified",Nervous System and Sense Organ Disorders
Multiple sclerosis,,,,ICD 10 - WHO,SAME-AS,G35,Multiple sclerosis,Nervous System and Sense Organ Disorders
"Myopathy, unspec.",,,,ICD 10 - WHO,SAME-AS,G72.9,"Myopathy, unspecified",Nervous System and Sense Organ Disorders
"Nervous system, NOS",,,,ICD 10 - WHO,SAME-AS,G96.9,"Disorder of central nervous system, unspecified",Nervous System and Sense Organ Disorders
"Neuropathy, unspec.",,,,ICD 10 - WHO,SAME-AS,G61.9,"Inflammatory polyneuropathy, unspecified",Nervous System and Sense Organ Disorders
"Parkinsonism, primary",,,,ICD 10 - WHO,SAME-AS,G20,Parkinson's disease,Nervous System and Sense Organ Disorders
Restless legs syndrome,,,,ICD 10 - WHO,SAME-AS,G25.81,Restless legs syndrome,Nervous System and Sense Organ Disorders
"Sleep apnea, obstructive",,,,ICD 10 - WHO,SAME-AS,G47.33,Obstructive sleep apnea (adult) (pediatric),Nervous System and Sense Organ Disorders
Trigeminal neuralgia,,,,ICD 10 - WHO,SAME-AS,G50.0,Trigeminal neuralgia,Nervous System and Sense Organ Disorders
"Angina, unstable",,,,ICD 10 - WHO,SAME-AS,I20.0,Unstable angina,Circulatory System
"Aortic aneurysm, unspec.",,,,ICD 10 - WHO,SAME-AS,I71.9,"Aortic aneurysm of unspecified site, without rupture",Circulatory System
"Arterial disorder, other, unspec.",,,,ICD 10 - WHO,SAME-AS,I77.9,"Disorder of arteries and arterioles, unspecified",Circulatory System
Atrial fibrillation,,,,ICD 10 - WHO,SAME-AS,I48.91,Unspecified atrial fibrillation,Circulatory System
Cardiac arrest,,,,ICD 10 - WHO,SAME-AS,I46.9,"Cardiac arrest, cause unspecified",Circulatory System
"Chronic ischemic heart disease, unspec.",,,,ICD 10 - WHO,SAME-AS,I25.9,"Chronic ischemic heart disease, unspecified",Circulatory System
"Circulatory disorder, unspec.",,,,ICD 10 - WHO,SAME-AS,I99.9,Unspecified disorder of circulatory system,Circulatory System
"Conduction disorder, unspec.",,,,ICD 10 - WHO,SAME-AS,I45.9,"Conduction disorder, unspecified",Circulatory System
Elevated BP w/o hypertension,,,,ICD 10 - WHO,SAME-AS,R03.0,"Elevated blood-pressure reading, without diagnosis of hypertension",Circulatory System
"Heart disease, other, unspec.",,,,ICD 10 - WHO,SAME-AS,I51.9,"Heart disease, unspecified",Circulatory System
"Heart failure, combined, unspec.",,,,ICD 10 - WHO,SAME-AS,I50.40,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,Circulatory System
"Heart failure, congestive, unspec.",,,,ICD 10 - WHO,SAME-AS,I50.9,"Heart failure, unspecified",Circulatory System
"Heart failure, diastolic, unspec.",,,,ICD 10 - WHO,SAME-AS,I50.30,Unspecified diastolic (congestive) heart failure,Circulatory System
"Heart failure, systolic, unspec.",,,,ICD 10 - WHO,SAME-AS,I50.20,Unspecified systolic (congestive) heart failure,Circulatory System
"Hypertension, benign",,,,ICD 10 - WHO,NARROWER THAN,I10,Essential (primary) hypertension,Circulatory System
"Hypertension, malignant",,,,ICD 10 - WHO,NARROWER THAN,I10,Essential (primary) hypertension,Circulatory System
"Hypertension, unspec.",,,,ICD 10 - WHO,NARROWER THAN,I10,Essential (primary) hypertension,Circulatory System
"Hypertensive heart disease, unspec., w/ heart failure",,,,ICD 10 - WHO,SAME-AS,I11.0,Hypertensive heart disease with heart failure,Circulatory System
"Hypertensive renal disease w/o renal failure, unspec.",,,,ICD 10 - WHO,SAME-AS,I12.9,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",Circulatory System
"Hypotension, orthostatic",,,,ICD 10 - WHO,SAME-AS,I95.1,Orthostatic hypotension,Circulatory System
Long QT syndrome,,,,ICD 10 - WHO,SAME-AS,I45.81,Long QT syndrome,Circulatory System
"Myocardial infarction, NOS (to 8 weeks)",,,,ICD 10 - WHO,SAME-AS,I21.3,ST elevation (STEMI) myocardial infarction of unspecified site,Circulatory System
"Myocardial infarction, NSTEMI (to 8 weeks)",,,,ICD 10 - WHO,SAME-AS,I21.4,Non-ST elevation (NSTEMI) myocardial infarction,Circulatory System
"Myocardial infarction, old",,,,ICD 10 - WHO,SAME-AS,I25.2,Old myocardial infarction,Circulatory System
"Pericarditis, acute, nonspecific",,,,ICD 10 - WHO,SAME-AS,I30.0,Acute nonspecific idiopathic pericarditis,Circulatory System
"Peripheral vascular disease, unspec.",,,,ICD 10 - WHO,SAME-AS,I73.9,"Peripheral vascular disease, unspecified",Circulatory System
"Phlebitis, deep, lower extrem., other",,,,ICD 10 - WHO,SAME-AS,I80.209,Phlebitis and thrombophlebitis of unspecified deep vessels of unspecified lower extremity,Circulatory System
"Premature beats, unspec.",,,,ICD 10 - WHO,SAME-AS,I49.40,Unspecified premature depolarization,Circulatory System
"Pulmonary edema, acute",,,,ICD 10 - WHO,SAME-AS,I50.1,Left ventricular failure,Circulatory System
"Pulmonary embolism, not iatrogenic",,,,ICD 10 - WHO,SAME-AS,I26.99,Other pulmonary embolism without acute cor pulmonale,Circulatory System
"Rheumatic heart disease, unspec.",,,,ICD 10 - WHO,SAME-AS,I09.9,"Rheumatic heart disease, unspecified",Circulatory System
"Tachycardia, paroxysmal SVT",,,,ICD 10 - WHO,SAME-AS,I47.1,Supraventricular tachycardia,Circulatory System
"Thrombophlebitis, unspec.",,,,ICD 10 - WHO,SAME-AS,I80.9,Phlebitis and thrombophlebitis of unspecified site,Circulatory System
"Venous insufficiency, unspec.",,,,ICD 10 - WHO,SAME-AS,I87.2,Venous insufficiency (chronic) (peripheral),Circulatory System
"Asthma, extrinsic, acute exacerbation",,,,ICD 10 - WHO,SAME-AS,J45.21,Mild intermittent asthma with (acute) exacerbation,Respiratory System
"Asthma, intrinsic, acute exacerbation",,,,ICD 10 - WHO,SAME-AS,J45.21,Mild intermittent asthma with (acute) exacerbation,Respiratory System
"Bronchiolitis, acute, due to RSV",,,,ICD 10 - WHO,SAME-AS,J21.0,Acute bronchiolitis due to respiratory syncytial virus,Respiratory System
"Bronchitis, acute",,,,ICD 10 - WHO,SAME-AS,J20.9,"Acute bronchitis, unspecified",Respiratory System
"Bronchitis, chronic, unspec.",,,,ICD 10 - WHO,SAME-AS,J42,Unspecified chronic bronchitis,Respiratory System
"Bronchospasm, acute",,,,ICD 10 - WHO,SAME-AS,J98.01,Acute bronchospasm,Respiratory System
"Bronchospasm, exercise induced",,,,ICD 10 - WHO,SAME-AS,J45.990,Exercise induced bronchospasm,Respiratory System
"COPD, NOS",,,,ICD 10 - WHO,SAME-AS,J44.9,"Chronic obstructive pulmonary disease, unspecified",Respiratory System
Croup,,,,ICD 10 - WHO,SAME-AS,J05.0,Acute obstructive laryngitis [croup],Respiratory System
Emphysema,,,,ICD 10 - WHO,SAME-AS,J43.9,"Emphysema, unspecified",Respiratory System
"Laryngitis, acute, no obstruction",,,,ICD 10 - WHO,SAME-AS,J04.0,Acute laryngitis,Respiratory System
Peritonsillar abscess,,,,ICD 10 - WHO,SAME-AS,J36,Peritonsillar abscess,Respiratory System
"Pharyngitis, acute",,,,ICD 10 - WHO,SAME-AS,J02.9,"Acute pharyngitis, unspecified",Respiratory System
"Pleural effusion, NOS",,,,ICD 10 - WHO,SAME-AS,J91.8,Pleural effusion in other conditions classified elsewhere,Respiratory System
